Citizenship,Year,Region,Month,Value0
Foreigners,2013,"West, Westfjords and Southwest from 2007",September,..
Foreigners,2013,"West, Westfjords and Southwest from 2007",October,..
Foreigners,2013,"West, Westfjords and Southwest from 2007",November,..
Foreigners,2013,"West, Westfjords and Southwest from 2007",December,..
Foreigners,2013,Southwest,Total,116725
Foreigners,2013,Southwest,January,3878
Foreigners,2013,Southwest,February,5278
Foreigners,2013,Southwest,March,7015
Foreigners,2013,Southwest,April,4601
Foreigners,2013,Southwest,May,7112
Foreigners,2013,Southwest,June,13686
Foreigners,2013,Southwest,July,24399
Foreigners,2013,Southwest,August,20414
Foreigners,2013,Southwest,September,10529
Foreigners,2013,Southwest,October,8744
Foreigners,2013,Southwest,November,4657
Foreigners,2013,Southwest,December,6412
Foreigners,2013,"West, Westfjords from 2007",Total,152399
Foreigners,2013,"West, Westfjords from 2007",January,1555
Foreigners,2013,"West, Westfjords from 2007",February,4878
Foreigners,2013,"West, Westfjords from 2007",March,5711
Foreigners,2013,"West, Westfjords from 2007",April,2745
Foreigners,2013,"West, Westfjords from 2007",May,8236
Foreigners,2013,"West, Westfjords from 2007",June,26902
Foreigners,2013,"West, Westfjords from 2007",July,43622
Foreigners,2013,"West, Westfjords from 2007",August,37704
Foreigners,2013,"West, Westfjords from 2007",September,11959
Foreigners,2013,"West, Westfjords from 2007",October,4202
Foreigners,2013,"West, Westfjords from 2007",November,2943
Foreigners,2013,"West, Westfjords from 2007",December,1942
Foreigners,2013,North,Total,266256
Foreigners,2013,North,January,2735
Foreigners,2013,North,February,4558
Foreigners,2013,North,March,6913
Foreigners,2013,North,April,4966
Foreigners,2013,North,May,16854
Foreigners,2013,North,June,47034
Foreigners,2013,North,July,80535
Foreigners,2013,North,August,66756
Foreigners,2013,North,September,19827
Foreigners,2013,North,October,8153
Foreigners,2013,North,November,3860
Foreigners,2013,North,December,4065
Foreigners,2013,East,Total,210438
Foreigners,2013,East,January,1859
Foreigners,2013,East,February,4546
Foreigners,2013,East,March,6074
Foreigners,2013,East,April,4776
Foreigners,2013,East,May,13896
Foreigners,2013,East,June,41440
Foreigners,2013,East,July,60355
Foreigners,2013,East,August,52843
Foreigners,2013,East,September,15068
Foreigners,2013,East,October,5131
Foreigners,2013,East,November,2341
Foreigners,2013,East,December,2109
Foreigners,2013,South,Total,328665
Foreigners,2013,South,January,4796
Foreigners,2013,South,February,13476
Foreigners,2013,South,March,16394
Foreigners,2013,South,April,12346
Foreigners,2013,South,May,18166
Foreigners,2013,South,June,47918
Foreigners,2013,South,July,85354
Foreigners,2013,South,August,68255
Foreigners,2013,South,September,26768
Foreigners,2013,South,October,16994
Foreigners,2013,South,November,9297
Foreigners,2013,South,December,8901
Iceland,2014,Total,Total,499907
Iceland,2014,Total,January,23122
Iceland,2014,Total,February,30272
Iceland,2014,Total,March,39861
Iceland,2014,Total,April,39186
Iceland,2014,Total,May,47987
Iceland,2014,Total,June,50527
Iceland,2014,Total,July,62256
Iceland,2014,Total,August,61006
Iceland,2014,Total,September,45784
Iceland,2014,Total,October,41494
Iceland,2014,Total,November,32718
Iceland,2014,Total,December,25694
Iceland,2014,Capital region,Total,200209
Iceland,2014,Capital region,January,14550
Iceland,2014,Capital region,February,16127
Iceland,2014,Capital region,March,20969
Iceland,2014,Capital region,April,18851
Iceland,2014,Capital region,May,21299
Iceland,2014,Capital region,June,14127
Iceland,2014,Capital region,July,15492
Iceland,2014,Capital region,August,15245
Iceland,2014,Capital region,September,17169
Iceland,2014,Capital region,October,16794
Iceland,2014,Capital region,November,15049
Iceland,2014,Capital region,December,14537
Iceland,2014,"West, Westfjords and Southwest from 2007",Total,..
Iceland,2014,"West, Westfjords and Southwest from 2007",January,..
Iceland,2014,"West, Westfjords and Southwest from 2007",February,..
Iceland,2014,"West, Westfjords and Southwest from 2007",March,..
Iceland,2014,"West, Westfjords and Southwest from 2007",April,..
Iceland,2014,"West, Westfjords and Southwest from 2007",May,..
Iceland,2014,"West, Westfjords and Southwest from 2007",June,..
Iceland,2014,"West, Westfjords and Southwest from 2007",July,..
Iceland,2014,"West, Westfjords and Southwest from 2007",August,..
Iceland,2014,"West, Westfjords and Southwest from 2007",September,..
Iceland,2014,"West, Westfjords and Southwest from 2007",October,..
Iceland,2014,"West, Westfjords and Southwest from 2007",November,..
Iceland,2014,"West, Westfjords and Southwest from 2007",December,..
Iceland,2014,Southwest,Total,33412
Iceland,2014,Southwest,January,1471
Iceland,2014,Southwest,February,2089
Iceland,2014,Southwest,March,2757
Iceland,2014,Southwest,April,2989
Iceland,2014,Southwest,May,3199
Iceland,2014,Southwest,June,2974
Iceland,2014,Southwest,July,2936
Iceland,2014,Southwest,August,3560
Iceland,2014,Southwest,September,3152
Iceland,2014,Southwest,October,3608
Iceland,2014,Southwest,November,1925
Iceland,2014,Southwest,December,2752
Iceland,2014,"West, Westfjords from 2007",Total,58788
Iceland,2014,"West, Westfjords from 2007",January,1135
Iceland,2014,"West, Westfjords from 2007",February,1666
Iceland,2014,"West, Westfjords from 2007",March,2379
Iceland,2014,"West, Westfjords from 2007",April,2807
Iceland,2014,"West, Westfjords from 2007",May,5365
Iceland,2014,"West, Westfjords from 2007",June,8293
Iceland,2014,"West, Westfjords from 2007",July,11562
Iceland,2014,"West, Westfjords from 2007",August,11929
Iceland,2014,"West, Westfjords from 2007",September,6041
Iceland,2014,"West, Westfjords from 2007",October,3919
Iceland,2014,"West, Westfjords from 2007",November,2772
Iceland,2014,"West, Westfjords from 2007",December,920
Iceland,2014,North,Total,83987
Iceland,2014,North,January,2664
Iceland,2014,North,February,5525
Iceland,2014,North,March,5802
Iceland,2014,North,April,7136
Iceland,2014,North,May,6277
Iceland,2014,North,June,9335
Iceland,2014,North,July,11764
Iceland,2014,North,August,10993
Iceland,2014,North,September,8550
Iceland,2014,North,October,8702
Iceland,2014,North,November,4535
Iceland,2014,North,December,2704
Iceland,2014,East,Total,36675
Iceland,2014,East,January,970
Iceland,2014,East,February,1294
Iceland,2014,East,March,2052
Iceland,2014,East,April,1492
Iceland,2014,East,May,3728
Iceland,2014,East,June,5588
Iceland,2014,East,July,7566
Iceland,2014,East,August,6941
Iceland,2014,East,September,3067
Iceland,2014,East,October,1834
Iceland,2014,East,November,1565
Iceland,2014,East,December,578
Iceland,2014,South,Total,86836
Iceland,2014,South,January,2332
Iceland,2014,South,February,3571
Iceland,2014,South,March,5902
Iceland,2014,South,April,5911
Iceland,2014,South,May,8119
Iceland,2014,South,June,10210
Iceland,2014,South,July,12936
Iceland,2014,South,August,12338
Iceland,2014,South,September,7805
Iceland,2014,South,October,6637
Iceland,2014,South,November,6872
Iceland,2014,South,December,4203
Iceland,2013,Total,Total,493207
Iceland,2013,Total,January,19180
Iceland,2013,Total,February,30095
Iceland,2013,Total,March,40345
Iceland,2013,Total,April,34938
Iceland,2013,Total,May,45157
Iceland,2013,Total,June,55468
Iceland,2013,Total,July,63034
Iceland,2013,Total,August,54339
Iceland,2013,Total,September,47669
Iceland,2013,Total,October,45061
Iceland,2013,Total,November,35042
Iceland,2013,Total,December,22879
Iceland,2013,Capital region,Total,202980
Iceland,2013,Capital region,January,10925
Iceland,2013,Capital region,February,15313
Iceland,2013,Capital region,March,19481
Iceland,2013,Capital region,April,17580
Iceland,2013,Capital region,May,17442
