Citizenship,Year,Region,Month,Value0
Denmark,2013,Total,March,4994
Denmark,2013,Total,April,5560
Denmark,2013,Total,May,6770
Denmark,2013,Total,June,11383
Denmark,2013,Total,July,21832
Denmark,2013,Total,August,11582
Denmark,2013,Total,September,9278
Denmark,2013,Total,October,8586
Denmark,2013,Total,November,3212
Denmark,2013,Total,December,2055
Denmark,2013,Capital region,Total,53777
Denmark,2013,Capital region,January,2391
Denmark,2013,Capital region,February,2848
Denmark,2013,Capital region,March,4214
Denmark,2013,Capital region,April,4468
Denmark,2013,Capital region,May,4765
Denmark,2013,Capital region,June,5329
Denmark,2013,Capital region,July,7648
Denmark,2013,Capital region,August,4873
Denmark,2013,Capital region,September,6270
Denmark,2013,Capital region,October,6629
Denmark,2013,Capital region,November,2854
Denmark,2013,Capital region,December,1488
Denmark,2013,"West, Westfjords and Southwest from 2007",Total,..
Denmark,2013,"West, Westfjords and Southwest from 2007",January,..
Denmark,2013,"West, Westfjords and Southwest from 2007",February,..
Denmark,2013,"West, Westfjords and Southwest from 2007",March,..
Denmark,2013,"West, Westfjords and Southwest from 2007",April,..
Denmark,2013,"West, Westfjords and Southwest from 2007",May,..
Denmark,2013,"West, Westfjords and Southwest from 2007",June,..
Denmark,2013,"West, Westfjords and Southwest from 2007",July,..
Denmark,2013,"West, Westfjords and Southwest from 2007",August,..
Denmark,2013,"West, Westfjords and Southwest from 2007",September,..
Denmark,2013,"West, Westfjords and Southwest from 2007",October,..
Denmark,2013,"West, Westfjords and Southwest from 2007",November,..
Denmark,2013,"West, Westfjords and Southwest from 2007",December,..
Denmark,2013,Southwest,Total,3413
Denmark,2013,Southwest,January,100
Denmark,2013,Southwest,February,102
Denmark,2013,Southwest,March,114
Denmark,2013,Southwest,April,123
Denmark,2013,Southwest,May,279
Denmark,2013,Southwest,June,432
Denmark,2013,Southwest,July,859
Denmark,2013,Southwest,August,467
Denmark,2013,Southwest,September,315
Denmark,2013,Southwest,October,336
Denmark,2013,Southwest,November,104
Denmark,2013,Southwest,December,182
Denmark,2013,"West, Westfjords from 2007",Total,5366
Denmark,2013,"West, Westfjords from 2007",January,51
Denmark,2013,"West, Westfjords from 2007",February,30
Denmark,2013,"West, Westfjords from 2007",March,74
Denmark,2013,"West, Westfjords from 2007",April,178
Denmark,2013,"West, Westfjords from 2007",May,231
Denmark,2013,"West, Westfjords from 2007",June,917
Denmark,2013,"West, Westfjords from 2007",July,1891
Denmark,2013,"West, Westfjords from 2007",August,983
Denmark,2013,"West, Westfjords from 2007",September,541
Denmark,2013,"West, Westfjords from 2007",October,423
Denmark,2013,"West, Westfjords from 2007",November,24
Denmark,2013,"West, Westfjords from 2007",December,23
Denmark,2013,North,Total,10048
Denmark,2013,North,January,140
Denmark,2013,North,February,158
Denmark,2013,North,March,242
Denmark,2013,North,April,128
Denmark,2013,North,May,621
Denmark,2013,North,June,1524
Denmark,2013,North,July,3872
Denmark,2013,North,August,1871
Denmark,2013,North,September,848
Denmark,2013,North,October,482
Denmark,2013,North,November,72
Denmark,2013,North,December,90
Denmark,2013,East,Total,7027
Denmark,2013,East,January,41
Denmark,2013,East,February,30
Denmark,2013,East,March,43
Denmark,2013,East,April,126
Denmark,2013,East,May,251
Denmark,2013,East,June,1276
Denmark,2013,East,July,3217
Denmark,2013,East,August,1454
Denmark,2013,East,September,321
Denmark,2013,East,October,189
Denmark,2013,East,November,50
Denmark,2013,East,December,29
Denmark,2013,South,Total,11668
Denmark,2013,South,January,74
Denmark,2013,South,February,82
Denmark,2013,South,March,307
Denmark,2013,South,April,537
Denmark,2013,South,May,623
Denmark,2013,South,June,1905
Denmark,2013,South,July,4345
Denmark,2013,South,August,1934
Denmark,2013,South,September,983
Denmark,2013,South,October,527
Denmark,2013,South,November,108
Denmark,2013,South,December,243
Sweden,2014,Total,Total,119858
Sweden,2014,Total,January,5905
Sweden,2014,Total,February,4227
Sweden,2014,Total,March,5780
Sweden,2014,Total,April,9504
Sweden,2014,Total,May,12865
Sweden,2014,Total,June,14937
Sweden,2014,Total,July,18988
Sweden,2014,Total,August,17055
Sweden,2014,Total,September,12638
Sweden,2014,Total,October,8543
Sweden,2014,Total,November,5184
Sweden,2014,Total,December,4232
Sweden,2014,Capital region,Total,84732
Sweden,2014,Capital region,January,5525
Sweden,2014,Capital region,February,3524
Sweden,2014,Capital region,March,4871
Sweden,2014,Capital region,April,8135
Sweden,2014,Capital region,May,10139
Sweden,2014,Capital region,June,9241
Sweden,2014,Capital region,July,9869
Sweden,2014,Capital region,August,8972
Sweden,2014,Capital region,September,9322
Sweden,2014,Capital region,October,7144
Sweden,2014,Capital region,November,4340
Sweden,2014,Capital region,December,3650
Sweden,2014,"West, Westfjords and Southwest from 2007",Total,..
Sweden,2014,"West, Westfjords and Southwest from 2007",January,..
Sweden,2014,"West, Westfjords and Southwest from 2007",February,..
Sweden,2014,"West, Westfjords and Southwest from 2007",March,..
Sweden,2014,"West, Westfjords and Southwest from 2007",April,..
Sweden,2014,"West, Westfjords and Southwest from 2007",May,..
Sweden,2014,"West, Westfjords and Southwest from 2007",June,..
Sweden,2014,"West, Westfjords and Southwest from 2007",July,..
Sweden,2014,"West, Westfjords and Southwest from 2007",August,..
Sweden,2014,"West, Westfjords and Southwest from 2007",September,..
Sweden,2014,"West, Westfjords and Southwest from 2007",October,..
Sweden,2014,"West, Westfjords and Southwest from 2007",November,..
Sweden,2014,"West, Westfjords and Southwest from 2007",December,..
Sweden,2014,Southwest,Total,3423
Sweden,2014,Southwest,January,49
Sweden,2014,Southwest,February,140
Sweden,2014,Southwest,March,102
Sweden,2014,Southwest,April,178
Sweden,2014,Southwest,May,331
Sweden,2014,Southwest,June,476
Sweden,2014,Southwest,July,577
Sweden,2014,Southwest,August,549
Sweden,2014,Southwest,September,298
Sweden,2014,Southwest,October,240
Sweden,2014,Southwest,November,367
Sweden,2014,Southwest,December,116
Sweden,2014,"West, Westfjords from 2007",Total,6478
Sweden,2014,"West, Westfjords from 2007",January,37
Sweden,2014,"West, Westfjords from 2007",February,68
Sweden,2014,"West, Westfjords from 2007",March,100
Sweden,2014,"West, Westfjords from 2007",April,156
Sweden,2014,"West, Westfjords from 2007",May,520
Sweden,2014,"West, Westfjords from 2007",June,1103
Sweden,2014,"West, Westfjords from 2007",July,1787
Sweden,2014,"West, Westfjords from 2007",August,1766
Sweden,2014,"West, Westfjords from 2007",September,582
Sweden,2014,"West, Westfjords from 2007",October,223
Sweden,2014,"West, Westfjords from 2007",November,90
Sweden,2014,"West, Westfjords from 2007",December,46
Sweden,2014,North,Total,8357
Sweden,2014,North,January,74
Sweden,2014,North,February,137
Sweden,2014,North,March,326
Sweden,2014,North,April,300
Sweden,2014,North,May,483
Sweden,2014,North,June,1319
Sweden,2014,North,July,2424
Sweden,2014,North,August,1740
Sweden,2014,North,September,836
Sweden,2014,North,October,317
Sweden,2014,North,November,142
Sweden,2014,North,December,259
Sweden,2014,East,Total,4795
Sweden,2014,East,January,66
Sweden,2014,East,February,55
Sweden,2014,East,March,66
Sweden,2014,East,April,76
Sweden,2014,East,May,352
Sweden,2014,East,June,929
Sweden,2014,East,July,1336
Sweden,2014,East,August,1502
Sweden,2014,East,September,285
Sweden,2014,East,October,78
Sweden,2014,East,November,34
Sweden,2014,East,December,16
Sweden,2014,South,Total,12073
Sweden,2014,South,January,154
Sweden,2014,South,February,303
Sweden,2014,South,March,315
Sweden,2014,South,April,659
Sweden,2014,South,May,1040
Sweden,2014,South,June,1869
Sweden,2014,South,July,2995
Sweden,2014,South,August,2526
Sweden,2014,South,September,1315
Sweden,2014,South,October,541
Sweden,2014,South,November,211
Sweden,2014,South,December,145
Sweden,2013,Total,Total,92326
Sweden,2013,Total,January,2342
Sweden,2013,Total,February,2806
Sweden,2013,Total,March,5969
Sweden,2013,Total,April,7162
Sweden,2013,Total,May,9280
Sweden,2013,Total,June,12555
Sweden,2013,Total,July,15426
Sweden,2013,Total,August,14337
Sweden,2013,Total,September,9228
Sweden,2013,Total,October,6297
Sweden,2013,Total,November,4049
Sweden,2013,Total,December,2875
Sweden,2013,Capital region,Total,71779
Sweden,2013,Capital region,January,2183
Sweden,2013,Capital region,February,2600
Sweden,2013,Capital region,March,5352
Sweden,2013,Capital region,April,6474
Sweden,2013,Capital region,May,7738
Sweden,2013,Capital region,June,8450
Sweden,2013,Capital region,July,9931
Sweden,2013,Capital region,August,9987
Sweden,2013,Capital region,September,7358
Sweden,2013,Capital region,October,5474
Sweden,2013,Capital region,November,3699
Sweden,2013,Capital region,December,2533
Sweden,2013,"West, Westfjords and Southwest from 2007",Total,..
Sweden,2013,"West, Westfjords and Southwest from 2007",January,..
Sweden,2013,"West, Westfjords and Southwest from 2007",February,..
Sweden,2013,"West, Westfjords and Southwest from 2007",March,..
Sweden,2013,"West, Westfjords and Southwest from 2007",April,..
Sweden,2013,"West, Westfjords and Southwest from 2007",May,..
Sweden,2013,"West, Westfjords and Southwest from 2007",June,..
Sweden,2013,"West, Westfjords and Southwest from 2007",July,..
Sweden,2013,"West, Westfjords and Southwest from 2007",August,..
Sweden,2013,"West, Westfjords and Southwest from 2007",September,..
Sweden,2013,"West, Westfjords and Southwest from 2007",October,..
Sweden,2013,"West, Westfjords and Southwest from 2007",November,..
Sweden,2013,"West, Westfjords and Southwest from 2007",December,..
Sweden,2013,Southwest,Total,1998
Sweden,2013,Southwest,January,45
Sweden,2013,Southwest,February,52
Sweden,2013,Southwest,March,89
Sweden,2013,Southwest,April,111
Sweden,2013,Southwest,May,221
Sweden,2013,Southwest,June,265
Sweden,2013,Southwest,July,318
Sweden,2013,Southwest,August,408
Sweden,2013,Southwest,September,191
Sweden,2013,Southwest,October,120
Sweden,2013,Southwest,November,111
Sweden,2013,Southwest,December,67
Sweden,2013,"West, Westfjords from 2007",Total,2883
Sweden,2013,"West, Westfjords from 2007",January,13
Sweden,2013,"West, Westfjords from 2007",February,27
Sweden,2013,"West, Westfjords from 2007",March,63
Sweden,2013,"West, Westfjords from 2007",April,47
Sweden,2013,"West, Westfjords from 2007",May,230
Sweden,2013,"West, Westfjords from 2007",June,494
Sweden,2013,"West, Westfjords from 2007",July,836
Sweden,2013,"West, Westfjords from 2007",August,772
Sweden,2013,"West, Westfjords from 2007",September,243
Sweden,2013,"West, Westfjords from 2007",October,106
Sweden,2013,"West, Westfjords from 2007",November,27
Sweden,2013,"West, Westfjords from 2007",December,25
Sweden,2013,North,Total,5682
Sweden,2013,North,January,46
Sweden,2013,North,February,51
Sweden,2013,North,March,164
Sweden,2013,North,April,90
Sweden,2013,North,May,384
Sweden,2013,North,June,1154
Sweden,2013,North,July,1808
Sweden,2013,North,August,1132
Sweden,2013,North,September,482
Sweden,2013,North,October,227
Sweden,2013,North,November,55
Sweden,2013,North,December,89
Sweden,2013,East,Total,2939
Sweden,2013,East,January,23
Sweden,2013,East,February,18
Sweden,2013,East,March,31
Sweden,2013,East,April,87
Sweden,2013,East,May,160
Sweden,2013,East,June,844
Sweden,2013,East,July,771
Sweden,2013,East,August,717
Sweden,2013,East,September,185
Sweden,2013,East,October,48
Sweden,2013,East,November,25
Sweden,2013,East,December,30
Sweden,2013,South,Total,7045
Sweden,2013,South,January,32
Sweden,2013,South,February,58
Sweden,2013,South,March,270
Sweden,2013,South,April,353
Sweden,2013,South,May,547
Sweden,2013,South,June,1348
Sweden,2013,South,July,1762
Sweden,2013,South,August,1321
Sweden,2013,South,September,769
Sweden,2013,South,October,322
Sweden,2013,South,November,132
Sweden,2013,South,December,131
Norway,2014,Total,Total,112301
Norway,2014,Total,January,3472
Norway,2014,Total,February,6426
Norway,2014,Total,March,6822
Norway,2014,Total,April,7473
Norway,2014,Total,May,12881
Norway,2014,Total,June,14058
Norway,2014,Total,July,15881
Norway,2014,Total,August,15763
Norway,2014,Total,September,12080
Norway,2014,Total,October,9441
Norway,2014,Total,November,5131
Norway,2014,Total,December,2873
Norway,2014,Capital region,Total,78691
Norway,2014,Capital region,January,3107
Norway,2014,Capital region,February,3951
Norway,2014,Capital region,March,5954
Norway,2014,Capital region,April,6408
Norway,2014,Capital region,May,9603
Norway,2014,Capital region,June,8976
Norway,2014,Capital region,July,7214
Norway,2014,Capital region,August,9195
Norway,2014,Capital region,September,9279
Norway,2014,Capital region,October,8004
Norway,2014,Capital region,November,4559
Norway,2014,Capital region,December,2441
Norway,2014,"West, Westfjords and Southwest from 2007",Total,..
Norway,2014,"West, Westfjords and Southwest from 2007",January,..
Norway,2014,"West, Westfjords and Southwest from 2007",February,..
Norway,2014,"West, Westfjords and Southwest from 2007",March,..
Norway,2014,"West, Westfjords and Southwest from 2007",April,..
Norway,2014,"West, Westfjords and Southwest from 2007",May,..
Norway,2014,"West, Westfjords and Southwest from 2007",June,..
Norway,2014,"West, Westfjords and Southwest from 2007",July,..
Norway,2014,"West, Westfjords and Southwest from 2007",August,..
Norway,2014,"West, Westfjords and Southwest from 2007",September,..
Norway,2014,"West, Westfjords and Southwest from 2007",October,..
Norway,2014,"West, Westfjords and Southwest from 2007",November,..
Norway,2014,"West, Westfjords and Southwest from 2007",December,..
Norway,2014,Southwest,Total,5443
Norway,2014,Southwest,January,67
Norway,2014,Southwest,February,2016
Norway,2014,Southwest,March,79
Norway,2014,Southwest,April,234
Norway,2014,Southwest,May,466
Norway,2014,Southwest,June,538
Norway,2014,Southwest,July,636
Norway,2014,Southwest,August,620
Norway,2014,Southwest,September,294
Norway,2014,Southwest,October,293
Norway,2014,Southwest,November,138
Norway,2014,Southwest,December,62
Norway,2014,"West, Westfjords from 2007",Total,6318
