Þjóðerni,Ár,Landsvæði,Mánuður,Value0
Útlendingar,2015,Suðurnes,Febrúar,7562
Útlendingar,2015,Suðurnes,Mars,8625
Útlendingar,2015,Suðurnes,Apríl,7120
Útlendingar,2015,Suðurnes,Maí,8640
Útlendingar,2015,Suðurnes,Júní,12785
Útlendingar,2015,Suðurnes,Júlí,14235
Útlendingar,2015,"Vesturland, Vestfirðir",Allir,58270
Útlendingar,2015,"Vesturland, Vestfirðir",Janúar,4313
Útlendingar,2015,"Vesturland, Vestfirðir",Febrúar,4618
Útlendingar,2015,"Vesturland, Vestfirðir",Mars,5449
Útlendingar,2015,"Vesturland, Vestfirðir",Apríl,3460
Útlendingar,2015,"Vesturland, Vestfirðir",Maí,7751
Útlendingar,2015,"Vesturland, Vestfirðir",Júní,13650
Útlendingar,2015,"Vesturland, Vestfirðir",Júlí,19029
Útlendingar,2015,Norðurland,Allir,82776
Útlendingar,2015,Norðurland,Janúar,2645
Útlendingar,2015,Norðurland,Febrúar,3281
Útlendingar,2015,Norðurland,Mars,4579
Útlendingar,2015,Norðurland,Apríl,5334
Útlendingar,2015,Norðurland,Maí,11610
Útlendingar,2015,Norðurland,Júní,22857
Útlendingar,2015,Norðurland,Júlí,32470
Útlendingar,2015,Austurland,Allir,52614
Útlendingar,2015,Austurland,Janúar,479
Útlendingar,2015,Austurland,Febrúar,1533
Útlendingar,2015,Austurland,Mars,2525
Útlendingar,2015,Austurland,Apríl,2624
Útlendingar,2015,Austurland,Maí,6680
Útlendingar,2015,Austurland,Júní,16191
Útlendingar,2015,Austurland,Júlí,22582
Útlendingar,2015,Suðurland,Allir,200414
Útlendingar,2015,Suðurland,Janúar,13158
Útlendingar,2015,Suðurland,Febrúar,21366
Útlendingar,2015,Suðurland,Mars,24310
Útlendingar,2015,Suðurland,Apríl,16307
Útlendingar,2015,Suðurland,Maí,24868
Útlendingar,2015,Suðurland,Júní,42958
Útlendingar,2015,Suðurland,Júlí,57447
Útlendingar,2014,Allt landið,Allir,1968146
Útlendingar,2014,Allt landið,Janúar,99599
Útlendingar,2014,Allt landið,Febrúar,135533
Útlendingar,2014,Allt landið,Mars,157413
